in_degree,out_degree,total_degree,CredCount
9,0,9,0
131,0,131,0
4,0,4,0
0,376,376,48
357,0,357,0
0,432,432,12
188,0,188,0
0,151,151,75
21,0,21,0
0,482,482,5
240,0,240,0
0,211,211,71
164,0,164,0
0,114,114,145
10,0,10,0
0,111,111,3
3,0,3,0
0,120,120,6
496,0,496,0
0,149,149,0
532,0,532,0
4,0,4,0
0,4,4,0
105,0,105,0
200,0,200,0
0,166,166,26
97,0,97,0
1,0,1,0
0,92,92,8
51,0,51,0
132,0,132,0
0,580,580,6
232,0,232,0
0,22,22,11
12,0,12,0
0,184,184,10
182,0,182,0
0,1184,1184,48
1172,0,1172,0
0,188,188,586
10,0,10,0
0,636,636,21
684,0,684,0
0,114,114,1
5,0,5,0
0,363,363,48
217,0,217,0
0,52,52,5
103,0,103,0
0,13,13,61
111,0,111,0
0,407,407,10
811,0,811,0
0,432,432,49
407,0,407,0
0,198,198,28
212,0,212,0
0,96,96,59
77,0,77,0
0,166,166,10
2,0,2,0
0,950,950,342
80,0,80,0
0,44,44,6
50,0,50,0
0,61,61,10
56,0,56,0
0,398,398,23
419,0,419,0
28,0,28,0
0,68,68,21
63,0,63,0
0,218,218,52
178,0,178,0
0,12,12,2
80,0,80,0
0,106,106,37
12,0,12,0
0,87,87,121
129,0,129,0
0,4,4,42
186,0,186,0
0,113,113,34
108,0,108,0
0,64,64,11
67,0,67,0
0,1439,1439,25
1211,0,1211,0
0,63,63,14
37,0,37,0
0,16,16,163
3,0,3,0
0,1456,1456,16
1633,0,1633,0
0,1270,1270,81
1232,0,1232,0
0,111,111,15
110,0,110,0
0,8,8,20
3,0,3,0
0,272,272,8
822,0,822,0
0,290,290,31
319,0,319,0
0,32,32,21
57,0,57,0
58,0,58,0
0,26,26,11
0,798,798,90
0,1064,1064,18
2,0,2,0
0,63,63,23
103,0,103,0
78,0,78,0
0,2962,2962,263
1,0,1,0
14,0,14,0
0,15,15,40
134,0,134,0
0,166,166,69
0,371,371,32
481,0,481,0
271,0,271,0
0,1307,1307,1
529,0,529,0
0,262,262,45
275,0,275,0
80,0,80,0
0,104,104,30
0,158,158,2
42,0,42,0
0,457,457,129
614,0,614,0
0,201,201,31
107,0,107,0
941,0,941,0
0,361,361,5
39,0,39,0
27,0,27,0
0,35,35,1
0,152,152,0
105,0,105,0
0,412,412,73
112,0,112,0
0,120,120,21
99,0,99,0
0,55,55,44
37,0,37,0
0,1398,1398,609
452,0,452,0
0,219,219,118
373,0,373,0
0,195,195,8
206,0,206,0
0,79,79,27
3,0,3,0
0,186,186,15
27,0,27,0
0,33,33,47
23,0,23,0
64,0,64,0
0,220,220,42
77,0,77,0
0,4,4,2
123,0,123,0
0,144,144,55
14,0,14,0
0,222,222,8
253,0,253,0
0,390,390,59
0,185,185,18
263,0,263,0
27,0,27,0
0,81,81,36
54,0,54,0
0,184,184,128
12,0,12,0
0,21,21,12
29,0,29,0
0,22,22,2
338,0,338,0
0,442,442,83
458,0,458,0
282,0,282,0
0,349,349,21
336,0,336,0
2,0,2,0
0,1427,1427,91
1,0,1,0
0,225,225,21
188,0,188,0
0,97,97,13
77,0,77,0
0,1155,1155,29
63,0,63,0
625,0,625,0
0,381,381,31
248,0,248,0
22,0,22,0
0,1217,1217,179
0,35,35,50
89,0,89,0
0,166,166,15
221,0,221,0
0,108,108,22
42,0,42,0
0,149,149,75
152,0,152,0
0,121,121,8
9,0,9,0
0,57,57,3
88,0,88,0
0,47,47,39
47,0,47,0
0,556,556,15
1116,0,1116,0
0,211,211,45
102,0,102,0
0,5,5,5
6,0,6,0
0,322,322,72
11,0,11,0
0,48,48,0
163,0,163,0
49,0,49,0
0,787,787,129
685,0,685,0
102,0,102,0
0,47,47,26
0,1024,1024,62
289,0,289,0
0,618,618,12
539,0,539,0
0,1033,1033,0
1031,0,1031,0
0,29,29,59
427,0,427,0
0,34,34,5
217,0,217,0
0,1763,1763,37
2468,0,2468,0
0,24,24,8
36,0,36,0
0,11,11,0
37,0,37,0
0,8,8,2
185,0,185,0
0,2246,2246,75
2169,0,2169,0
0,205,205,14
141,0,141,0
382,0,382,0
24,0,24,0
0,39,39,10
17,0,17,0
0,263,263,10
92,0,92,0
12,0,12,0
0,10,10,7
57,0,57,0
0,27,27,27
1,0,1,0
3,0,3,0
0,312,312,54
1,0,1,0
0,1548,1548,6
3,0,3,0
0,806,806,89
761,0,761,0
0,465,465,117
68,0,68,0
0,440,440,52
69,0,69,0
0,22,22,1
85,0,85,0
0,1801,1801,21
65,0,65,0
17,0,17,0
0,32,32,23
13,0,13,0
0,84,84,10
76,0,76,0
0,505,505,60
89,0,89,0
0,389,389,41
416,0,416,0
0,95,95,41
141,0,141,0
0,419,419,12
447,0,447,0
0,86,86,54
3,0,3,0
0,207,207,16
189,0,189,0
0,95,95,105
77,0,77,0
0,80,80,35
126,0,126,0
0,117,117,3
82,0,82,0
0,276,276,55
12,0,12,0
38,0,38,0
0,30,30,0
8,0,8,0
0,78,78,33
85,0,85,0
0,656,656,17
623,0,623,0
0,114,114,74
162,0,162,0
34,0,34,0
0,108,108,5
76,0,76,0
214,0,214,0
0,11,11,45
9,0,9,0
0,11,11,7
25,0,25,0
0,250,250,39
95,0,95,0
0,52,52,109
63,0,63,0
0,217,217,13
198,0,198,0
0,1163,1163,133
18,0,18,0
0,107,107,12
22,0,22,0
0,226,226,13
1,0,1,0
0,8,8,21
668,0,668,0
0,13,13,11
69,0,69,0
0,9,9,2
73,0,73,0
47,0,47,0
0,54,54,2
374,0,374,0
0,222,222,30
95,0,95,0
0,455,455,66
489,0,489,0
0,317,317,25
69,0,69,0
0,74,74,16
3,0,3,0
2,0,2,0
0,179,179,69
46,0,46,0
0,131,131,6
4,0,4,0
0,213,213,25
166,0,166,0
0,364,364,12
1,0,1,0
0,2329,2329,6
2185,0,2185,0
1378,0,1378,0
0,89,89,89
20,0,20,0
0,210,210,26
50,0,50,0
0,390,390,36
540,0,540,0
0,63,63,24
6,0,6,0
0,708,708,21
708,0,708,0
0,38,38,81
6,0,6,0
0,267,267,23
283,0,283,0
0,1342,1342,129
139,0,139,0
64,0,64,0
0,1,1,2
104,0,104,0
4,0,4,0
55,0,55,0
0,15,15,4
0,538,538,79
277,0,277,0
0,242,242,48
94,0,94,0
113,0,113,0
0,126,126,15
559,0,559,0
0,497,497,11
62,0,62,0
0,16,16,6
14,0,14,0
0,65,65,2
66,0,66,0
0,82,82,12
0,126,126,15
147,0,147,0
331,0,331,0
0,128,128,23
203,0,203,0
0,721,721,2
0,328,328,50
3424,0,3424,0
25,0,25,0
58,0,58,0
0,221,221,35
2,0,2,0
0,141,141,10
18,0,18,0
0,809,809,7
0,465,465,4
47,0,47,0
0,118,118,27
113,0,113,0
0,106,106,90
9,0,9,0
0,80,80,36
2,0,2,0
0,444,444,27
438,0,438,0
0,1182,1182,3
292,0,292,0
0,144,144,71
171,0,171,0
0,718,718,20
412,0,412,0
0,9,9,33
400,0,400,0
199,0,199,0
0,98,98,48
25,0,25,0
0,66,66,22
99,0,99,0
74,0,74,0
0,5,5,53
0,417,417,66
400,0,400,0
0,1758,1758,8
15,0,15,0
0,476,476,81
2,0,2,0
4,0,4,0
0,62,62,65
0,404,404,24
130,0,130,0
59,0,59,0
13,0,13,0
0,213,213,180
1587,0,1587,0
0,415,415,38
133,0,133,0
154,0,154,0
0,685,685,29
0,712,712,64
0,249,249,52
429,0,429,0
0,3,3,4
3,0,3,0
0,59,59,9
26,0,26,0
0,7,7,2
0,129,129,65
209,0,209,0
0,25,25,3
7,0,7,0
235,0,235,0
0,4,4,0
1,0,1,0
0,57,57,3
7,0,7,0
0,299,299,32
13,0,13,0
0,316,316,62
26,0,26,0
0,53,53,63
45,0,45,0
845,0,845,0
0,52,52,21
568,0,568,0
695,0,695,0
4,0,4,0
1,0,1,0
0,6,6,22
0,233,233,1
64,0,64,0
0,63,63,0
448,0,448,0
17,0,17,0
0,362,362,44
228,0,228,0
0,49,49,30
32,0,32,0
0,143,143,33
144,0,144,0
18,0,18,0
0,489,489,118
505,0,505,0
0,156,156,61
218,0,218,0
0,65,65,82
125,0,125,0
0,104,104,58
32,0,32,0
0,34,34,79
173,0,173,0
0,318,318,11
629,0,629,0
17,0,17,0
0,37,37,77
4,0,4,0
0,147,147,20
5,0,5,0
0,347,347,31
52,0,52,0
0,8,8,0
3,0,3,0
0,77,77,11
11,0,11,0
0,130,130,1
28,0,28,0
0,42,42,7
13,0,13,0
0,118,118,11
374,0,374,0
0,186,186,40
36,0,36,0
298,0,298,0
0,260,260,110
38,0,38,0
0,71,71,4
16,0,16,0
0,107,107,5
34,0,34,0
331,0,331,0
87,0,87,0
853,0,853,0
36,0,36,0
0,182,182,17
0,909,909,92
38,0,38,0
0,26,26,124
11,0,11,0
0,1235,1235,103
